Film (American),Year,Subgrenre,Notes
Deluge,1933,Natural Disaster,"Heaviliy Religious, Genesis 9:11"
The Day the Earth Stood Still,1951,Aliens,Religious Metaphors
Five,1951,Post-Atomic War,"Unknown, uncertain future"
When Worlds Collide,1951,Aliens,"Also Natural Disasters (tsunamis, etc)"
Robot Monster,1953,Aliens,Advanced Tech
The War of the Worlds,1953,Aliens,"Religious, Praying, etc"
Day the World Ended,1955,Post-Atomic War,Hopeful rebirth of humanity
Kiss Me Deadly,1955,Atomic War,Alternative ending where they all die
Forbidden Planet,1956,Technological Advancement,"""We are not God"""
Invasion of the Body Snatchers,1956,Aliens,Anti-Communist Subplots
World Without End,1956,Post-Atomic War,Peaceful vs violent societies
The Lost Missile,1958,Atomic War,During rather than after
The Blob,1958,Aliens,Ends in environmental destruction hint
"The World, the Flesh, and the Devil",1959,Post-Atomic War,Hopeful New Beginnings
Beyond the Time Barrier,1960,Post-Atomic War,Time Travel
Last Woman on Earth,1960,Biological Plague,"Unknown, uncertain future"
The Time Machine,1960,Post-Atomic War,Explores what it means to be human
The Creation of the Humanoids,1962,Post-Atomic War,Explores what it means to be human
Panic in Year Zero!,1962,Atomic War,Hopeful rebirth of humanity
This Is Not a Test,1962,Atomic War,Height of Cold War
Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb,1964,Atomic War,Satirical; lawsuit regarding similarity to Dr. Strangelove
Fail Safe,1964,Atomic War,Similar to the Bedford Incident; lawsuit regarding similarity to Dr. Strangelove
The Last Man on Earth,1964,Vampiric Plague,"Based on 1954 novel ""I Am Legend"" along with 3 other films"
The Time Travelers,1964,Post-Atomic War,Hopeful rebirth of humanity
Crack in the World,1965,Technological Advancement,Geothermal Energy
In the Year 2889,1967,Post-Atomic War,"Remake of 1955 ""Day the World Ended"""
Late August at the Hotel Ozone,1967,Post-Atomic War,"Unknown, uncertain future"
Night of the Living Dead,1968,Zombie Plague,Commentary on Cold War politics and domestic racism
Planet of the Apes,1968,Post-Atomic War,Explores what it means to be human
Beneath the Planet of the Pes,1970,Atomic War,Destruction of Earth
Colossus: The Forbin Project,1970,Technological Advancement,Similar to The Day the Earth Stood Still
Gas-s-s-s,1970,Biological Plague,Heavily religious
No Blade of Grass,1970,Biological Plague,Humanity will destroy itself (and TW)
The Andromeda Strain,1971,Biological Plague,"Unknown, uncertain future"
Escape from the Planet of the Apes,1971,Atomic War,Humanity will destroy itself
Glen and Randa,1971,Post-Atomic War,Hopeful rebirth of humanity
The Omega Man,1971,Biological Plague,"Based on 1954 novel ""I Am Legend"" along with 3 other films; unknown, uncertain future"
Beware! The Blob,1972,Aliens,Environmental destruction commentary
Conquest of the Planet of the Apes,1972,Post-Atomic War,Explores what it means to be human
A Thief in the Night,1972,Rapture,Strict giving of oneself to Jesus vs the Antichrist
Silent Running,1972,Environmental Destruction,"Unknown, uncertain future"
Battle for the Planet o the Apes,1973,Post-Atomic War,"Achieved peace, but war will come again"
Soylent Green,1973,Environmental Destruction,Humanity will destroy itself
Phase IV,1974,Technological Advancement,"Unknown, uncertain future"
Where Have All the People Gone?,1974,Biological Plague,Hopeful rebirth of humanity
Zardoz,1974,Technological Advancement,Hopeful rebirth of humanity
A Boy and His Dog,1975,Post-Atomic War,Humanity will destroy itself (and TW)
The Ultimate Warrior,1975,Biological Plague,Hopeful rebirth of humanity
Logan's Run,1976,Technological Advancement,Hopeful rebirth of humanity
Damnation Alley,1977,Atomic War,Environmental destruction commentary
End of the World,1977,Aliens,Heavy religious influences
Wizards,1977,Post-Atomic War,Plays on fears of a Nazi-like group coming to power again
Dawn of the Dead,1978,Zombie Plague,"Unknown, uncertain future"
A Distant Thunder,1978,Rapture,Sequel to A Thief in the Night; Chris vs. the Antichrist
Invasion of the Body Snatchers,1978,Aliens,Anti-Communist Subplots
"The Late, Great Planet Earth",1979,Rapture,Capitalized on fears of global conflict
Ravagers,1979,Post-Atomic War,Humanity will destroy itself
Flash Gordon,1980,Aliens,"Unknown, uncertain future"
Escape from New York,1981,Atomic War,Humanity will destroy itself
Image of the Beast,1981,Rapture,"Strict giving of oneself to Jesus vs the Antichrist; third installment of ""A Thief in the Night"""
Blade Runner,1982,Technological Advancement,Explores what it means to be human
The Thing,1982,Aliens,Has anti-authoritarian tone and ties to cold-war tensions via comparisons to mutually assured destruction
The Day After,1983,Atomic War,"Unknown, uncertain future"
The Prodigal Planet,1983,Rapture,"Fourth installment of ""A Thief in the Night""; this series continues to emphasize a strict giving of oneself to Jesus - even a scientist's presence is interpreted as divine intervention."
